Component,Description,Type
10.1080/09585192.2018.1505761,"How fast do apprenticeships come to a premature end? Insights into the factors that determine the speed of the process. This study draws on data on dual apprenticeship training in Germany to investigate which factors determine how fast the decision to terminate an apprenticeship before its completion is taken and executed. Information on the speed of this process can help organizations improve their decision-making in taking measures aimed at preventing premature terminations. As the results of our probit regression show, the decision to terminate an apprenticeship early is likely to be implemented in less than two months if the sole initiator of the termination is the apprentice and the decision is made within the probationary period or during the first year of the apprenticeship. Our analysis also shows that dissatisfaction with the quality of training increases the probability of a swift termination. In contrast, when the reason is unsatisfactory performance on the part of the apprentice at the vocational school, the process of premature termination is likely to be significantly slower.",art
10.1080/09585192.2020.1845776,"Human resource capabilities in uncertain environments. Increasingly, multinational companies (MNCs) are entering less explored markets with highly uncertain environments. In such an environment, MNCs must develop new solutions to tackle unpredictable changes. While there are some studies focusing on firm strategies in turbulent environments, there is a scant understanding of how the human resource strategies of MNCs should change in precarious environments. Thus, built upon the dynamic capability perspective, we focus on the human resource capabilities that MNCs develop in an uncertain emerging economy. In this research, we carried out a multiple case study and interviewed six MNCs' subsidiaries operating in the Islamic Republic of Iran. Our findings demonstrate that in an uncertain environment, human resource managers should be able to develop flexible cost management, adapt compensation packages, employ frequent and transparent communication, ensure retention of their top-quality managers, develop long-term oriented team-based and quick decision-making, and have the autonomy from MNC headquarters to enact these initiatives.",art
10.1080/09585192.2018.1504106,"The Job Seeking Experiences of International Graduates in the Host Country: Australia's Lost Opportunity?. This paper examines the job seeking experiences of international graduates in attempting to obtain meaningful work in their university education host country. Qualitative feedback on the specific job seeking barriers and experiences in the host country after graduating were provided by 696 respondents. The findings suggest that the specific barriers to finding employment were their visa status, lack of work experience and perceived discriminatory practices of potential employers and/or their agents. The study also suggests that the discriminatory employment experiences of international university graduates demonstrate a lack of congruence between the concept of best fit in hiring decision making and a culturally diverse Australian labour market. Not only do the current practices limit the source of potential highly educated, skilled and culturally aware employees into the labour market of the host country, it also severely compromises an organisation's ability to achieve workplace diversity; a strategic outcome necessary to compete within a highly competitive global economy.",art
10.1080/09585192.2018.1504108,"The role of works councils in severance payments for dismissed employees. Using representative German employee data, we analyze the role of works councils for the incidence of severance payments subsequent to dismissals. While there is a positive relation with severance payments after those dismissals which stem from plant closings, the incidence of a works council is negatively associated with severance pay subsequent to individual layoffs. In both cases, we find a negative moderating effect of individuals' higher re-employment chances. We also explore gender differences and differences between the types of previously held jobs.",art
10.1080/09585192.2017.1366139,"Working sick and out of sorts: A cross-cultural approach on presenteeism climate, organizational justice and work-family conflict (vol 30, pg 2754, 2017). ",art
10.1080/09585192.2024.2427146,"Proactivity or withdrawal? The role of attributions in employee psychological and behavioral responses to leader high performance expectations. In today's fiercely competitive market landscape, leader high performance expectations (LHPEs) are increasingly integrated into performance management practices in the workplace. However, this adoption may yield a performance management paradox: while some argue that high performance expectations prompt proactive employee engagement, others assert that such expectations induce withdrawal. Our study aims to unveil this paradox and its underlying mechanisms. Drawing upon insights from the HR attributions literature and the job demands-resources model, we propose that the impact of LHPE is contingent upon employees' attributions for this practice. Specifically, employees attributing LHPE to prosocial motives experience a sense of thriving at work, leading to increased engagement in proactive behavior (the motivational pathway). Conversely, those attributing LHPE to self-interest motives experience distress at work and tend to withdraw (the strain pathway). Our hypotheses are supported by the results of a three-wave survey involving 321 employees. Overall, our findings underscore the crucial role of employee attributions in implementing LHPE as a performance management strategy, offering insights into its optimal utilization.",art
10.1080/09585192.2024.2401582,"The role of previous experience in the analysis of the psychological contract and its outcomes during the socialization process: a signalling theory perspective. Psychological contract theory has largely neglected the role of previous experience. In this study, we examine how previous work experience influences outcomes of communication with organizational insiders during organizational socialization among healthcare staff. We develop a model based on signalling theory, within which information acquisition during socialization is associated with psychological contract fulfilment, which is in turn is related to better health, happiness, and social relationships. Moderated mediation analysis based on data collected at entry and three months later confirms indirect effects between three types of information acquisition and three employee outcomes via the mediating role of psychological contract fulfilment. Importantly, these indirect effects are present only for inexperienced newcomers. Our findings build on signalling theory and add to knowledge about how the psychological contract forms during early socialization. They also suggest that organizations should pay particular attention to inducting inexperienced newcomers.",art
10.1080/09585192.2024.2347645,"Reexamining the relationship between extrinsic rewards and creativity: a study from the creative process engagement perspective. Empirical findings concerning the effects of extrinsic rewards on employee creativity have been controversial and have focused mainly on the theoretical mechanism of intrinsic motivation. Although intrinsic motivation is a primary impetus for creativity, generating creative outputs is a process that requires a sequence of creative endeavors. Drawing from the componential theory of creativity, this study proposes a positive relationship between extrinsic rewards and creativity via creative process engagement. Additionally, two types of employee characteristics, i.e. person-job fit and cognitive flexibility, are important contingency factors affecting the reward-creativity relationship. Our empirical analyses of data collected from 228 supervisor-subordinate dyads demonstrate the mediating role of creative process engagement in the reward-creativity relationship. Moreover, employees with high levels of person-job fit and cognitive flexibility are found to have the highest levels of creative process engagement and, in turn, the greatest creativity when motivated by extrinsic rewards for creativity. These findings have several theoretical and managerial implications related to reward-creativity research and practice.",art
10.1080/09585192.2023.2262373,"Negative impression management: the troublemaker as trouble seeker. Extending the discourse on impression management, we explore a counter-intuitive workplace deviance phenomenon whereby employees aim to get themselves fired from their jobs. Employing exploratory qualitative methods, we collected evidence from employees who practice deliberate negative impression management (NIM), from parties who witnessed NIM, and from Human Resource (HR) managers who have dealt with NIM, in two distinct geographies: Israel and Taiwan. The paper outlines the diverse sources of NIM, its specified and unspecified aims, its actual consequences, and its prevalence. This unique dataset offers insights that extend our understanding of impression management theory and practice, serving as a mean to explicating a variant of deviant behavior at the workplace and providing information to HR personnel on ways to engage with the issue.",art
10.1080/09585192.2023.2254211,"Being accepted there makes me rely less on acceptance here': cross-context identity enactment and coping with gender identity threats at work for non-binary individuals. We aimed to understand how nonbinary individuals cope with gender identity threats in different contexts at work. We used a grounded theory approach through semi-structured interviews with 28 nonbinary Brazilian individuals from 25 organizations. In environments that are threatening to their gender identity, nonbinary individuals adopt a trial-and-error process of gender identity expression that makes them realize that restructuring their identity leads to a high sense of inauthenticity, while preserving it incurs high social costs. As both are unsatisfactory, some of them adopt ambiguous responses that allow them to find ways to make identity claims through performative processes of gender identity expression. Such a process, although not fully reflecting their desire for authenticity, provides satisfactory validation. This mechanism is possible when they interact in other environments where their identity claims are validated. Thus, the gender identity expression validated in more receptive contexts allows these individuals to experience what we named as cross-context identity enactment. It is a process by which the social validation that individuals obtain by enacting an identity in a less-threatening context allows them to rely less on validation in a more threatening context to retain such identity in their self-concept.",art
10.1080/09585192.2023.2237876,"The effects of workplace violence on the job stress of health care workers: buffering effects of wellbeing HRM practices. Contemporary research has focused on antecedents, incidences, and consequences of workplace violence in the healthcare sector. However, little is known about the role of HRM in supporting healthcare workers to cope with negative emotions arising from workplace violence. Grounded in the conservation of resources theory, this study examines the moderating effects of wellbeing HRM practices (WBHRM) on the relationship between workplace violence and job stress. We also examine the mediation effects of job stress on the relationship between workplace violence and quality of care. Data were gathered from 254 and 225 (Study 1) aged care workers (nurses and personal care assistants) in Australia and 136 healthcare workers (doctors and nurses) in China (Study 2) across multiple waves. We use a new measure of WBHRM in this paper to test our hypotheses. Results show that the presence of WBHRM practices moderated the relationship between workplace violence and job stress. We also found that job stress mediates the relationship between workplace violence and quality of care. The findings contribute to the HRM literature by providing an innovative WBHRM approach to support health care workers to cope with job stress after they experience workplace violence.",art
10.1080/09585192.2023.2169076,"Antecedents and consequences of host nationals' attitudes towards hybrid language in MNCs: the case of MNC-tone. Multiple language use in multinational corporations (MNCs) crossing linguistic boundaries can lead to code-switching and the creation of hybrid languages. Hybrid languages in MNCs can facilitate or impede organizational processes. The source of such ambiguous findings may lie in individuals' attitudes toward hybrid languages. The sociolinguistics literature suggests that language attitudes impact individuals' in- and out-group behavior and may explain mixed findings of hybrid language use. We conduct research in the context of MNC-tone-a hybrid English-Chinese language popular in MNCs in China, which has also spilled into Chinese society among non-MNC workers. We examine the attitudes of Chinese nationals toward MNC-tone, the geo-social antecedents that contribute to attitude formation, and the consequences of such attitudes on perceived organizational attractiveness and interpersonal guanxi (informal and positive relationship between individuals facilitating processes in organizations). With survey data collected from Chinese employees in two interconnected studies (N = 342 and 502), we find that individuals from a multilingual landscape with access to foreign media and a multilingual social network have positive attitudes toward the hybrid language. Individuals with positive attitudes are likely to be attracted to work in MNCs that use the language and exercise interpersonal guanxi with others that use the hybrid language.",art
10.1080/09585192.2022.2126946,"Middle-managers' innovative behavior: the roles of psychological empowerment and personal initiative. Middle-managers are vital catalysts for organizational innovation, acting as a bridge between organizational strategy and goals set by senior-managers and the actions of lower-level employees. Their proactive motivation to engage in innovative work behavior is therefore central to organizational endeavor. However, the innovation literature is replete with studies focusing solely on organizational-level determinants of middle-managers' innovative behavior while the HRM literature focuses predominantly on the experiences of lower-level employees. Little is known about the psychological factors and processes which give rise to middle-managers innovative work behavior. Drawing on the proactive motivation model, this study examines whether middle-managers' personal initiative mediates the relationship between the four dimensions of their psychological empowerment and their innovative work behaviors. Drawing on a sample of 110 middle-manager-supervisor dyads, our study highlights personal initiative as the mechanism through which psychological empowerment influences innovative work behaviors. Our work further informs the HR literature about how HR practices and systems may be used to foster middle manager proactivity in the workplace. In total, our study seeks to take a step towards reducing the dearth in knowledge on the psychological determinants of middle-managers' innovative work behaviors.",art
10.1080/09585192.2022.2078990,"Employee psychological conditions as mediators of the relationship between human resource management and employee work engagement. Employee work engagement is an asset valued by today's organisations, not only as an indicator of well-being at work but also because it improves both employees' work performance and organisational performance. Knowing how employee work engagement can be fostered in the firm is therefore a subject of great interest to both academics and managers, but few studies have examined how organisational interventions positively affect employee work engagement. In this research, we focus on the relevance of organisations' human resource management to promote high levels of engagement among their employees. The theoretical framework guiding our research, Kahn's (1990) model, provides interesting insights into the mechanisms through which human resource management influences employee work engagement. By testing a multilevel model based on matched data from a sample of 146 HR managers and 504 employees in Spanish companies, our analyses show that high performance work systems have a positive influence on work engagement through the employee psychological conditions of meaningfulness, psychological safety and psychological availability.",art
10.1080/09585192.2021.2005659,"Host country national quality of interaction with expatriates: antecedents, process, and outcome. Little research examines host country national (HCN)-expatriate interaction from the HCN's perspective. Our study contributes to theory and practice by introducing the concept of 'HCN-expatriate interaction quality', one that has received little attention in the literature. Drawing on the Intergroup Contact Theory, we examine the mediating role of HCN-expatriate interaction quality between the HCN's on-the-job interaction with and support to the expatriate, as well as two moderating effects: off-the-job interaction with the expatriate and perceived expatriate receptivity towards support. Further, we examine how different types of the HCN's prior international experiences enhance interaction quality with and support to the expatriate. Using a multi-wave design of HCNs in Taiwan, we find support for most of our hypotheses.",art
10.1080/09585192.2021.1966491,"Motivational cultural intelligence and expatriate talent adjustment: an exploratory study of the moderation effects of cultural distance. The purpose of this paper is to explore the relationship between motivational cultural intelligence and cultural adjustment of expatriate talent through the lens of cultural distance. The rapid development of MNCs from emerging markets and the corresponding increase in the need for expatriates makes it imperative that scholars examine this subject from numerous critical angles. Drawing on data from 242 Chinese expatriates based in 25 different countries/regions, we employ multilevel analyses to test the research hypotheses related to expatriate talent management. The results of this exploratory study confirm that motivational cultural intelligence has a positive and significant effect on cultural adjustment: work adjustment, general adjustment and interaction adjustment respectively, and cultural distance has a negatively moderating role between motivational cultural intelligence and work adjustment of expatriate talent. This paper helps to expand our understanding of the field of global talent management and the importance of motivational cultural intelligence and cultural distance on expatriate talent.",art
10.1080/09585192.2021.1954682,"What do we have faith in? - a comparative study on trust and performance appraisal practices in French and German MNE-subsidiaries. We explore how subsidiaries in a high-trust (Germany) and low-trust (France) country adopt the performance appraisal (PA) system from their US-headquarter. In-depth interviews with 30 informants illustrate trickle-down effects of trust from the national level to the organizational and individual levels shaping processes, outputs, and interactions of PA. While German informants expressed trust in the overall PA practice of the US-headquarter, French informants reacted with mistrust to PA manifested in different processes, rater and ratee attitudes, outcomes of PA, as well as the role of HR. We add to the comparative HRM literature by untangling, within an MNE context, the interaction of societal, organizational, and individual trust with the overall PA to provide a more holistic explanation for cross-national variations in PA beyond the mere assignment to separate cultural categories.",art
10.1080/09585192.2021.1948890,"HRM's financial value from obtaining more star performers. We assessed the financial value of human resource management (HRM) as a function of obtaining more star performers. Specifically, we implemented utility analysis procedures on 206 samples of individual performance (i.e. output) encompassing 824,924 workers. We found that HRM adds greater financial value by obtaining more stars. Our results also offer several specific contributions to HRM theory. First, regarding how HRM produces greater value by obtaining more stars, our evidence points to a nonlinear model of HRM's value, where HRM generates significant yet diminishing returns by increasingly obtaining the most productive ones. Second, regarding when, our results show that diminishing returns from HRM are stronger when output differences among top stars are relatively small. Third, regarding why, our study explains that small output differences among top stars may create various costs which diminish the returns from obtaining the most productive stars. Our explanation of HRM's nonlinear pattern contributes to the star literature by helping integrate a variety of specific explanations for stars' curvilinear influence discussed in past research. Regarding HRM practices, we highlight the need to use utility analysis procedures that more fully consider the existence of stars. Supplemental data for this article is available online at https://doi.org/10.1080/09585192.2021.1948890 .",art
10.1080/09585192.2021.1931938,"The impact of green HRM on green creativity: mediating role of pro-environmental behaviors and moderating role of ethical leadership style. In the aftermath of global warming, organizations are coming under increasing pressure to reduce carbon emissions, minimize waste, and generally become more responsible in their practices. To this backdrop, researchers argue that organizational HR practices have significant potential in shaping human behaviors. Therefore, by investigating the employment of a subordinate-supervisor dyad (N = 378 (subordinates), and 141 (supervisors)), this empirical study contributes to the growing literature on Green Human Resource Management (green HRM) and its impacts on employees' green outcomes. In particular, this study tested a novel model to explore the impact of green HRM on Green Creativity (GC) of employees in mediating the role of Pro-Environmental Behaviors (PEBs) and moderating the role of Ethical Leadership Style (ELS). Data were collected from organizations in the Gilgit-Baltistan (GB) region of Pakistan. For testing the results of the proposed hypotheses, structural equation modelling technique using SMART PLS 3 was employed. The results indicate that green HRM has a positive impact on employees' GC. Furthermore, partial mediating role of PEBs was also found. Finally, it was found that the ELS moderates the relationship between green HRM and GC and between green HRM and PEBs. Several theoretical and practical implications are discussed.",art
10.1080/09585192.2021.1913623,"Exploring the adoption of virtual work: the role of virtual work self-efficacy and virtual work climate. Previous research has shown that virtual work provides benefits to individual employees (e.g. less stress, higher job satisfaction, and higher productivity), the organization (e.g. lower real estate costs and higher commitment and performance) and, potentially, society at large (less traffic, less pollution, and lower healthcare costs through reduced stress and work-family conflict). To realize the potential benefits associated with virtual work, many organizations have introduced new policies to enable employees to work virtually. However, research evidence and media reports indicate that many employees are hesitant to utilize the opportunity to work virtually. To better understand this gap between formal organizational policies and actual adoption, we investigate the predictors and conditions of virtual work adoption. Drawing on Lewin's field theory and Bandura's social cognitive theory, we examine the extent to which virtual work self-efficacy, virtual work climate, and their interaction predict individual adoption of virtual work arrangements. To test our hypotheses, we conducted a survey study of 256 employees from a multinational information technology company. Our results suggest that an effective virtual work climate encourages employees with low virtual work self-efficacy to engage in more virtual work.",art
10.1080/09585192.2018.1512513,"Oceans apart: work-life boundaries and the effects of an oversupply of segmentation. Employment trends see work and personal life domains becoming both more integrated (e.g. flexible working) and more segmented (e.g. global careers). Trends toward more extreme segmentation or integration may lead to a greater risk of misfit between employee preferences for and organizational supplies of integration/segmentation. This paper investigates the impact of organizational fit and misfit within a highly segmented occupational context: offshore work. With lengthy rotations away from home, followed by long periods away from work, limited inter-role communications and reduced day-to-day transitions between work and non-work roles, offshore work offers a segmented work-life interface. Fit and misfit of integration-segmentation preferences with perceptions of organizational integration-segmentation supply were examined among offshore employees, as well as their counterparts working traditional, office-based schedules. Using polynomial regression and response surface analysis, the impact of fit and misfit on work-life conflict, enrichment and organizational commitment was assessed. The data show that misfit resulting from an oversupply of segmentation may result in behavioral work-to-life conflict, associated with the reduced number of transitions between work and home roles, strain-based conflict, and a reduced transfer of resources from work to home resulting in less developmental work-life enrichment and organizational commitment. These findings contribute to existing literature by identifying the impact of misfit resulting from segmentation oversupply on individual and organizational outcomes, emphasizing the need for HR practitioners to recognize the potential for and impact of different forms of misfit within the changing landscape of their own organizational environments.",art
10.1080/09585192.2024.2332470,"Employment relationships and firm sustainability: does the strength of the HRM system play a role?. The aim of the present study, based on the framework of social exchange theory and sustainability, is twofold: first, to show how distinct employment relationships (ERs) can have different effects on sustainability outcomes; and second, to demonstrate how such an impact is mediated by the strength of the HRM system. The proposed model was tested using the multivariate method of partial least squares structural equation modelling (PLS-SEM) on a sample of 206 companies in the chemical and metallurgical industries. Data were collected via a questionnaire composed of measurement scales previously validated in the reference literature. Each company's production and HR managers were asked to complete the questionnaire. Our results showed that mutual investment ERs can indeed produce better sustainability results, and organisations with quasi-spot contract (QSC) relationships are unable to achieve sustainable organisational outcomes. The results also confirmed that a strong HRM system reinforces the positive effects of mutual investment ERs. Moreover, a strong HRM mitigates the negative effects of QSCs. In essence, our paper shows that the strength of an HRM system is a major driver of sustainability. Therefore, when implementing working relationships, managers should foster shared perceptions of the firm's values among its employees, thus clearly defining which behaviours are expected and rewarded.",art
10.1080/09585192.2024.2331585,"Linking top management's HR focus to innovation: the role of ownership structures and high-performance work systems. Unraveling the intricate ties between top management, human resource management, and firm innovation is crucial in today's dynamic business landscape. The role of firm ownership is particularly vital in understanding these processes, especially within the context of increasingly diverse ownership structures. This study leverages the signaling theory and the upper echelon theory to investigate the direct and indirect impacts of top management (TM)'s strategic human resource focus (SHF) on firm innovation and improvement (FII). We investigate the moderating effect of firm ownership structures (state-owned enterprises and privately-owned enterprises) and the mediating effect of a high-performance work system (HPWS) in these processes. Findings reveal that TM's SHF has both a positive direct effect and a positive indirect effect on FII through the implementation of HPWS. The study affirms the moderating influence of firm ownership on the relationship between TM's SHF and HPWS, as well as on the mediating effect of HPWS in the relationship between TM's SHF and FII. Our analysis also uncovers distinct patterns in how firm ownership moderates the direct and indirect effects of TM's SHF on FII. Theoretical and practical implications are discussed.",art
10.1080/09585192.2023.2250257,"Negotiating the volunteer role: a qualitative study of older volunteers' experiences in woodland conservation. This paper explores the exchange relationship between older conservation volunteers (aged over 50 years) and paid group organisers. Using qualitative interview data from seventeen adult volunteers and four organisers recruited from three conservation groups in the North West of England we argue that the psychological contract is important for understanding how organisations can manage and retain volunteers. Our findings highlight the importance of the psychological contract between volunteers and the group organiser, with each party recognising the mutual benefits they bring to the relationship. Participants' accounts revealed that they chose to take on the often physically challenging conservation work because the natural environment was important to them, but also because there was no obligation for them to attend. Thus, being a conservation volunteer allowed them to retain control over their voluntary time commitment and avoid the pressures of responsibility associated with having people depending upon them. At the micro-level, organisers appreciated the expectations and abilities of individual volunteers, managing and adjusting their own practices accordingly to encourage volunteer retention. We consider the implications of our research in terms of both volunteer and psychological contract theory and discuss the potential implications for organisations in terms of managing and retaining older volunteers.",art
10.1080/09585192.2023.2237865,"'Everyone should have a wife' - extreme work, eldercare, and the gendered academy in the context of the COVID-19 pandemic. This research explores the micro-level experiences of women with eldercare responsibilities in academia. We present academia as a site of extreme work and a gendered space. The 'ideal academic' is predicated on neoliberal logic, where long hours, uninterrupted career paths, and being care-less in terms of responsibilities are rewarded. Our study is set within the Irish Higher Education (HEI) sector where we undertook in-depth interviews with female academics who have eldercare responsibilities. Our findings reveal eldercare as an 'invisible' form of care, while research, arguably a substantive performance metric in academia was also experienced as an invisible pursuit taking place outside normal working hours. The interplay between these two invisible forces had disastrous consequences for women during the pandemic, as they attempted to respond to the intensification of elder care needs while extreme work in academia became normalised and research metrics continued to be a key measure of excellence, regardless of context. Our findings highlight the need to reshape the identity of the 'ideal academic' and dismantle the link between intense work patterns and success. Equally, the recalibration of HR policies, and performance metrics, to support staff with care responsibility emerged as vital in ensuring a sustainable academic workforce.",art
10.1080/09585192.2023.2189022,"Cue consistency matters: how and when newcomers respond to supervisor creativity expectations. Organizations may hire newcomers as a source of creativity, bringing fresh ideas and novel solutions to benefit organizational performance. However, the conditions that foster newcomer innovation are not well understood. Drawing on behavioral plasticity and cue consistency theories, we investigate the combined influence of new job self-efficacy and two work design factors (work autonomy and work demands) affecting how supervisor creativity expectations (SCEs) translate into newcomers behaving innovatively. Two-wave data were collected from 108 graduates of a university in China. Results using reliability-corrected single indicator latent moderated structural equation modeling (RCSLMS) supported our hypotheses. Thus, SCEs predicted newcomer innovative behavior more strongly for newcomers with low new job self-efficacy. Moreover, supporting cue consistency theory, newcomers who perceived high SCEs and low new job self-efficacy demonstrated the highest level of innovative behavior when work autonomy was high or work demands were low. These results broaden the application of behavioral plasticity theory for understanding newcomer behaviors. Further, our findings emphasize the importance of consistent work environment cues to encourage newcomer innovation.",art
10.1080/09585192.2022.2077127,"Supporting Australian veteran transition: career construction through a person-environment fit perspective. Despite military veterans being recognised as a rich talent pool for employers, evidence suggests that their capabilities are not fully utilised in civilian workplaces, with recent research indicating difficulty finding appropriate jobs and high turnover rates for this population. This study is underpinned by a person-environment fit perspective, and applies career construction theory to explore veterans' perspectives of key challenges in their significant career transition from military service into the civilian workforce. It identifies ways for HRM professionals to improve integration and ultimately, retention. Interviews were conducted with 31 veterans from the Australian Defence Force who had transitioned from full-time service and had been working in civilian employment for at least six months but no more than three years. The research resulted in the development of a framework for veteran career transition that acknowledges the personal adaptation that occurs throughout this process and informs HR action required to attract and retain this valuable talent segment.",art
10.1080/09585192.2022.2063065,"Employer branding orientation: effects on recruitment performance under COVID-19. In this study we examined the impact of employer branding orientation (EBO) on recruitment performance. The study is based on a sample of 153 knowledge-intensive firms operating on the Russian labor market. Partial least squares structural equation modeling was used to test the research model. Our results revealed that EBO positively related to employer branding strategy and employer value proposition (EVP) which, in turn, impact the recruitment performance. We also identified the moderating effect of COVID-19 influence on employer branding programs. This study contributes to the debate on the role of EBO in HRM practices of companies and provides practitioners with evidence on importance of EVP formulation.",art
10.1080/09585192.2022.2043925,"The role of robotization in work design: a comparative case study among logistic warehouses. Robots are increasingly used in a variety of work environments, but surprisingly little attention has been paid to how robots change work. In this comparative case study, we explore how robotization changed the work design of order pickers and order packers in eight logistic warehouses. We found that all warehouses robotized tasks based on technological functionality to increase efficiency, which sometimes created jobs consisting of 'left-over tasks'. Only two warehouses used a bottom-up approach, where employees were involved in the implementation and quality of work was considered important. Although the other warehouses did not, sometimes their work design still benefitted from robotization. The positive effects we identified are reduced physical and cognitive demands and opportunities for upskilling. Warehouses that lack attention to the quality of work may risk ending up with the negative effects for employees, such as simplification and intensification of work, and reduced autonomy. We propose that understanding the consequences of robots on work design supports HR professionals to help managing this transition by both giving relevant input on a strategic level about the importance of work design and advocating for employees and their involvement.",art
10.1080/09585192.2021.2016888,"Sourcing human capital for organizational effectiveness: sourcing strategy, determinants, and alignment. Human capital sourcing is a major determinant of firm effectiveness. We develop logic that favors a specialized sourcing strategy in which organizations emphasize one type of sourcing, focusing either on developing or acquiring human capital, as opposed to a balanced approach. We then identify characteristics and capabilities that lead firms to adopt one sourcing type over another. Additionally, we examine whether aligning sourcing decisions with organizational characteristics and capabilities relates to better performance. We use panel regression to examine how sourcing decisions ultimately impact performance. Results suggest that specialized sourcing relates to improved performance more strongly than does a balanced approach, that certain organizational capabilities are advantageous for specific types of sourcing, and that aligning sourcing strategy with organizational fit partially relates to greater organizational performance.",art
10.1080/09585192.2021.1991977,"Sensemaking and spirituality: the process of re-centring self-decentralisation at work. This study explores sensemaking as grounded in identity construction in the context of workplace spirituality to uncover how individuals make sense of the process of self-decentralisation. The paper adopts the Buddhist notion of non-self as an analytical tool to explore how Buddhist practitioners in organisational contexts 'empty out' and de-centre the self in constructing and negotiating self-identity in the workplace. Through 104 interviews with both executives and employees who are Buddhist practitioners, the study reveals a phenomenon of re-centring self-decentralisation emerging in the pursuit of self-decentralisation. The findings contribute to a deeper understanding of how individuals make sense of work in the context of a spiritual practice and highlight practical implications for HRM practices to manage dynamic interpretations and enactments of spiritual practices in organisations.",art
10.1080/09585192.2021.1958247,"Predictors of employees' strike attitudes in multinational corporations in China: a multilevel relational model. China experienced an unprecedented increase in labor strikes until the mid-2010s, and the country continues to experience considerable strike activity. Therefore, it is important to study what predicts Chinese workers' attitudes toward strikes. The study applies social exchange theory as an overarching framework to investigate the contributions of three forms of social exchange relations in organizations-employee-employer relations, labor-management relations, and leader-member relations-to account for Chinese employees' attitudes toward strikes in multinational corporations (MNCs) based in China. Using a matched employee-employer sample of more than 1,600 employees in 41 China-based MNCs, the results obtained from hierarchical linear modeling (HLM) analysis show that individual-perceived employee-employer relations indicated by a negative reciprocity norm is positively related to employees' strike attitudes. Labor-management relations indicated by the organizational-level cooperative industrial relations (IR) climate is negatively related to employees' strike attitudes. Leader-member relations indicated by leader-member exchange (LMX) is not significantly related to employees' strike attitudes. Overall, the results indicate that at the individual level, it is more important for companies not to do bad (to engage in negative reciprocity with workers) than to do good to reduce employees' strike attitudes.",art
10.1080/09585192.2021.1962388,"Psychological entitlement and organizational citizenship behaviors: the roles of employee involvement climate and affective organizational commitment. The present study develops and tests an overreaching theoretical framework based on social exchange theory to examine the situations under which individuals with high levels of psychological entitlement are more or less likely to exhibit positive work attitudes and behaviors. In particular, we integrate perspectives from the team climate literature to analyze the moderating effects of employee involvement climate at the workgroup level on the relationship between psychological entitlement and organizational citizenship behaviors (OCBs) through the mediating mechanism of affective commitment (a first-stage moderated mediation model). To test our hypotheses, we collected data from 231 supervisor-subordinate dyads across 41 work teams at a large Chinese automobile manufacturer. We find that when the employee involvement climate level is high, the effects of psychological entitlement on OCBs through affective commitment are positive and significant. In contrast, when the employee involvement climate level is low, the relationship is negative and significant. The present study makes a theoretical contribution to the literature by examining the frequently neglected positive side of psychological entitlement. It demonstrates that a high employee involvement climate helps to engage psychologically entitled employees by circumventing previously unbalanced social exchange relationships. We also discuss the practical implications of our findings and provide suggestions for human resource managers to maximize the contributions of entitled employees and foster their organizational commitment and OCBs.",art
10.1080/09585192.2021.1956564,"The relationship between HIWPs and nurse work engagement: the role of job crafting and supervisor support. The purpose of this paper is to provide a mediation explanation of the relationship between HRM and nurse work engagement. The study contributes to understanding how high involvement work practices (HIWPs) relate to nurse work engagement by analysing the mediating role played by job crafting. The study also considers the importance of supervisor support as a moderator in the mediated relationship. The study was based on an anonymous online survey of 2,984 nurses employed in Australia. Analysis confirms the hypothesised relationships in that job crafting was found to mediate the positive relationship between HIWPs and work engagement. Further, supervisor support moderated the indirect relationship between HIWPs and work engagement through job crafting, such that the indirect effect was stronger under increasing levels of supervisor support. The results have implications for the importance of HIWPs on job crafting for nurses who carry out many professional roles simultaneously. Furthermore, the research highlights the role that supervisors play in encouraging and managing nurses who take advantage of HIWP opportunities to shape, mould and redefine their jobs.",art
10.1080/09585192.2019.1579749,"Employment integration barriers: experiences of people with disabilities. People with disabilities experience barriers in the integration phase of employment. The aim of this article was to examine the experiences of people with disabilities relating to job application forms and advertisements, interviews, confidentiality and disclosure of disability, as well as medical and psychometric testing. Qualitative data on the barriers experienced were obtained from semi-structured interviews with 72 people with differing disabilities in South Africa. Findings showed that despite progressive legislation, people with disabilities experience barriers in the integration phase of employment. To prevent barriers to employment, advertisements, application forms, interview venues and interview questions need to be accessible and appropriate for people with disabilities. In addition, the selection criteria and medical and psychometric testing used need to be appropriate and non-discriminatory. Insights from this qualitative article can assist in preventing employment integration barriers. This in turn will have an influence on human resource managers' hiring of people with disabilities, employers' meeting their employment equity targets, being viewed as an employer of choice who values diversity and having productive employees and a low staff turnover.",art
